(+)-alpha-pinene	CC1=CCC2CC1C2(C)C
21-hydroxyallopregnanolone	CC12CCC(CC1CCC3C2CCC4(C3CCC4C(=O)CO)C)O
21-hydroxypregnenolone	CC12CCC3C(C1CCC2C(=O)CO)CC=C4C3(CCC(C4)O)C
22beta-hydroxycholesterol	CC(C)CCC(C(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O
23S,25,26-trihydroxyvitamin D3	CC(CC(CC(C)(CO)O)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
23s,25-dihydroxyvitamin D3	CC(CC(CC(C)(C)O)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
24,25,26,27-Tetranor-23-Oxo-Hydroxyvitamin D3	CC(CC=O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
24,25-dihydrolanosterol	CC(C)CCCC(C)C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C
24-hydroxycholesterol	CC(C)C(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O
24-oxo-1alpha,23,25-trihydroxyvitamin D3	CC(CC(C(=O)C(C)(C)O)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
24-oxo-1alpha,25-dihydroxyvitamin D3	CC(CCC(=O)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
25-hydroxycholesterol	CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
25-hydroxyvitamin D2	CC(C=CC(C)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
25-hydroxyvitamin D3-26,23-lactol	CC(CC1CC(C(O1)O)(C)O)C2CCC3C2(CCCC3=CC=C4CC(CCC4=C)O)C
25-hydroxyvitamin D3-26,23-lactone	CC(CC1CC(C(=O)O1)(C)O)C2CCC3C2(CCCC3=CC=C4CC(CCC4=C)O)C
26-hydroxycholesterol	CC(CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO
27-hydroxycholesterol	CC(CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO
27Alpha-Hydroxy-8-Dehydrocholesterol	CC(CCCC(C)C1CCC2C1(CCC3=C2CC=C4C3(CCC(C4)O)C)C)CO
3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA	CCCCCC=CCC=CCC=CCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3(S)-hydroxy-13-cis-eicosenoyl-CoA	C1=CC(=NN=C1N)Cl
3(S)-hydroxy-2(S),6-dimethyl-heptanoyl-CoA	CC(C)CCC(C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3(S)-hydroxy-4(R),8-dimethyl-nonanoyl-CoA	CC(C)CCCC(C)C(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3(S)-hydroxy-4-methyl-pentanoyl-CoA	CC(C)C(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3(S)-hydroxy-tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCC=CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3,3,5-Triiodothyroacetate	C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(=O)[O-])I)I)O
3,4-Dihydroxyphenylethanol	C1=CC(=C(C=C1CCO)O)O
3,4-dihydro-3-hydroxy-4-S-glutathionyl bromobenzene	C1=CC(=CC(C1SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O)Br
3,4-dihydroxy-5-all-trans-decaprenylbenzoate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC(=C1)C(=O)O)O)[O-])C)C)C)C)C)C)C)C)C)C
3,4-dihydroxymandelaldehyde	C1=CC(=C(C=C1C(C=O)O)O)O
3,4-dihydroxymandelate	C1=CC(=C(C=C1C(C(=O)O)O)O)O
3,4-dihydroxyphenylacetaldehyde	C1=CC(=C(C=C1CC=O)O)O
3,4-dihydroxyphenylacetate	C1=CC(=C(C=C1CC(=O)O)O)O
3,4-dihydroxyphenylethyleneglycol	C1=CC(=C(C=C1C(CO)O)O)O
3,4-epoxynonanal	CCCCCC1C(O1)CC=O
3,5-dihydroxy-3,4-dihydro-1,4-benzothiazine	C1=CC=C2C(=C1)NC=CS2
3,5-diiodo-L-thyronine	C1=CC(=CC=C1O)OC2=C(C=C(C=C2I)CC(C(=O)O)N)I
3,5-diiodo-L-tyrosine	C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N
3-(Methylthio)Propionate	CSCCC(=O)[O-]
3-(methylthio)propionic acid	CSCCC(=O)O
3-Hydroxy-Glutarate	C(C(CC(=O)O)O)C(=O)O
3-Hydroxy-Octadecenoyl Carnitine	CCCCCCCCCCCCCCCC(=O)C=C(C(CC(=O)[O-])(C[N+](C)(C)C)O)O
3-Hydroxy-Sebacic Acid	C(CCCC(=O)O)CCC(CC(=O)O)O
3-Hydroxycinnamic Acid	C1=CC(=CC(=C1)O)C=CC(=O)O
3-Hydroxydecanoylcarnitine	CCCCCCCC(CC(=O)OC(CCC(=O)[O-])[N+](C)(C)C)O
3-Hydroxydodecanoylcarnitine	CCCCCCCCCC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O
3-Hydroxyhexadecanoyl Coenzyme A	CCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-Hydroxyhexadecanoylcarnitine	CCCCCCCCCCCCCC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O
3-Hydroxyhexadecenoylcarnitine	CCCCCCC=CCCCCCC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O
3-Hydroxyisovaleric Acid	CC(C)(CC(=O)O)O
3-Hydroxyisovaleryl Coenzyme A	CC(C)(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-Hydroxyoctadecadienoylcarnitine	CCCCCCCCCCCCCC=CC(=CC(=O)C(CC(=O)[O-])(C[N+](C)(C)C)O)O
3-Methyl-Glutarate	CC(CC(=O)O)CC(=O)O
3-Methylhistidine	CN1C=NC=C1CC(C(=O)O)N
3-O-methyldopa	COC1=C(C=CC(=C1)CC(C(=O)O)N)O
3-amino-propanal	C(C[NH3+])C=O
3-carboxy-1-hydroxypropyl-ThPP	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(CCC(=O)O)O)CCOP(=O)(O)OP(=O)(O)O
3-decaprenyl-4-hydroxybenzoate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C)C)C)C)C
3-dehydro-L-gulonate	C(C(C(C(=O)C(C(=O)O)O)O)O)O
3-dehydrosphinganine	CCCCCCCCCCCCCCCC(=O)C(CO)N
3-demethylubiquinol-10	CC1=C(C(=C(C(=C1O)O)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
3-deoxy-D-glycero-D-galacto-2-nonulosonic acid	C1C(C(C(OC1(C(=O)O)O)C(C(CO)O)O)O)O
3-hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	CC(C)C(=C)CC(C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone	CC1C(=O)C2=CC=CC=C2C(=O)C1(CC=C(C)CCCC(C)CCCC(C)CCCC(C)C)O
3-hydroxy-L-kynurenine	C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N
3-hydroxy-N6,N6,N6-trimethyl-L-lysine	C[N+](C)(C)CCCC(C(C(=O)O)N)O
3-hydroxy-THA-CoA	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyanthranilate	C1=CC(=C(C(=C1)O)N)C(=O)O
3-hydroxydocosanoyl-CoA	CCCCCCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyeicosanoyl-CoA	CCCCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyheptadecanoyl-CoA	CCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyheptanoyl-CoA	CCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyhexacosanoyl-CoA	CCCCCCCCCCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyisobutyrate	CC(CO)C(=O)[O-]
3-hydroxyisobutyryl-CoA	CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-hydroxykynurenamine	C1=CC(=C(C(=C1)O)N)C(=O)CCN
3-hydroxyoctadecanoyl-CoA	CCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxypentadecanoyl-CoA	CCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxypristanoyl-CoA	CC(C)CCCC(C)CCCC(C)CCC(C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxypropionyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCO)O
3-hydroxytetracosanoyl-CoA	CCCCCCCCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxytridecanoyl-CoA	CCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyundecanoyl-CoA	CCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-iodo-L-tyrosine	C1=CC(=C(C=C1CC(C(=O)O)N)I)O
3-keto-4-methylzymosterol	CC1C2CCC3=C(C2(CCC1=O)C)CCC4(C3CCC4C(C)CCC=C(C)C)C
3-keto-THA-CoA	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-keto-beta-D-galactose	C(C1C(C(=O)C(C(O1)O)O)O)O
3-ketolactose	C(C1C(C(C(C(O1)O)O)O)OC2C(C(=O)C(C(O2)CO)O)O)O
3-ketopristanoyl-CoA	CC(C)CCCC(C)CCCC(C)CCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-mercaptolactate	C(C(C(=O)O)O)S
3-mercaptolactate-cysteine-disulfide	C(C(C(=O)O)N)SSCC(C(=O)O)O
3-methoxy-4-hydroxy-5-all-trans-decaprenylbenzoate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC(=C1)C(=O)O)OC)[O-])C)C)C)C)C)C)C)C)C)C
3-methoxy-4-hydroxyphenylacetaldehyde	COC1=C(C=CC(=C1)CC=O)O
3-methoxy-4-hydroxyphenylethyleneglycol	COC1=C(C=CC(=C1)C(CO)O)O
3-methoxy-4-hydroxyphenylglycolaldehyde	COC1=C(C=CC(=C1)C(C=O)O)O
3-methoxy-acetaminophen	CC(=O)NC1=CC(=C(C=C1)O)OC
3-methoxytyramine	COC1=C(C=CC(=C1)CCN)O
3-methyl-2-oxobutyrate	CC(C)C(=O)C(=O)[O-]
3-methylcrotonyl-CoA	CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C
3-methylglutaconyl-CoA	CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)CC(=O)O
3-monoiodo-L-thyronine	C1=CC(=CC=C1O)OC2=C(C=C(C=C2)CC(C(=O)[O-])[NH3+])I
3-oxo-(2S)-methylisocapryloyl-CoA	CC(C)CCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-11-cis-octadecenoyl-CoA	CCCCCCC=CCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
3-oxo-4(R),8-dimethyl-nonanoyl-CoA	CC(C)CCCC(C)C(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-4-methyl-pentanoyl-CoA	CC(C)C(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA	CCCCCC=CCC=CCC=CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxodecanoyl-CoA	CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxodocosanoyl-CoA	CCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxododecanoyl-CoA	CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxoeicosa-cis,cis-11,14-dienoyl-CoA	CCCCCC=CCC=CCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxoeicosanoyl-CoA	CCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxoheptanoyl-CoA	CC(=C)C(CCC(=O)C)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxohexacosanoyl-CoA	CCCCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxohexanoyl-CoA	CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxononanoyl-CoA	CCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxooctadecanoyl-CoA	CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxooctanoyl-CoA	CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxooleoyl-CoA	CCCCCCCCC=CCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxopalmitoleoyl-CoA	CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxopalmitoyl-CoA	CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxopentanoyl-CoA	CCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxopropanoate	C(C=O)C(=O)[O-]
3-oxopropionyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC=O)O
3-oxotetracosanoyl-CoA	CCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxotetradecanoyl-CoA	CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxotridecanoyl-CoA	CCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxoundecanoyl-CoA	CC(C)CC(C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(C[Se])NC(=O)C(CC(=O)N)N
3-phospho-D-glycerate	C(C(C(=O)O)O)OP(=O)(O)O
3-phosphoadenylylselenate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O[Se](=O)(=O)O)OP(=O)(O)O)O)N
3-phosphonooxypyruvate	C(C(=O)C(=O)O)OP(=O)(O)O
3-phosphoserine	C(C(C(=O)O)N)OP(=O)(O)O
3-succinoylpyridine	C1=CC(=CN=C1)C(=O)CCC(=O)O
3-sulfinoalanine	C(C(C(=O)O)N)S(=O)O
3-sulfinylpyruvic acid	C(C(=O)C(=O)O)S(=O)O
3-sulfopyruvate	C(C(=O)C(=O)O)S(=O)(=O)O
3-ureidoisobutyrate	CC(CNC(=O)N)C(=O)O
3-ureidopropionate	C(CNC(=O)N)C(=O)O
3alpha,12alpha-dihydroxy-5beta-cholanate	CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C
3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestan-27-al	CC(CCC(C(C)C=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
3alpha,7alpha,12alpha,25-tetrahydroxy-5beta-cholestane-24-one	CC(CCC(=O)C(C)(C)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
3alpha,7alpha,12alpha-trihydroxy-5beta-24-oxocholestanoyl-CoA	CC(CCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(C7)O)C)O)O)C
